Reaction Date,Reaction Type,Parent Type,Parent ID
"Jun 29, 2014, 7:11:55 PM",Kudos,Activity,159154996
"Jul 17, 2014, 6:45:32 PM",Kudos,Activity,167241497
"Jul 18, 2014, 3:02:24 PM",Kudos,Activity,167561799
"Jul 18, 2014, 3:05:42 PM",Kudos,Activity,167262987
"Jul 19, 2014, 4:00:28 PM",Kudos,Activity,167882291
"Jul 24, 2014, 1:58:33 PM",Kudos,Activity,169518094
"Jul 26, 2014, 11:28:40 AM",Kudos,Activity,171006970
"Jul 26, 2014, 3:00:31 PM",Kudos,Activity,170772364
"Jul 26, 2014, 3:03:24 PM",Kudos,Activity,170385924
"Jul 26, 2014, 3:03:25 PM",Kudos,Activity,170436551
"Jul 27, 2014, 4:28:29 PM",Kudos,Activity,171139487
"Jul 27, 2014, 4:28:36 PM",Kudos,Activity,171530324
"Aug 5, 2014, 4:26:13 PM",Kudos,Activity,173915800
"Aug 5, 2014, 4:26:25 PM",Kudos,Activity,173992116
"Aug 5, 2014, 4:26:37 PM",Kudos,Activity,174259927
"Aug 5, 2014, 4:26:57 PM",Kudos,Activity,175790082
"Aug 6, 2014, 1:21:52 PM",Kudos,Activity,176222220
"Aug 7, 2014, 11:47:44 AM",Kudos,Activity,176717399
"Aug 7, 2014, 11:48:37 AM",Kudos,Activity,176726989
"Aug 7, 2014, 11:49:45 AM",Kudos,Activity,176242626
"Aug 7, 2014, 11:50:04 AM",Kudos,Activity,175383071
"Aug 9, 2014, 8:40:10 AM",Kudos,Activity,177334283
"Aug 9, 2014, 7:17:41 PM",Kudos,Activity,177622029
"Aug 10, 2014, 2:36:40 PM",Kudos,Activity,176880987
"Aug 10, 2014, 2:36:51 PM",Kudos,Activity,178130048
"Aug 10, 2014, 5:26:20 PM",Kudos,Activity,178285190
"Aug 11, 2014, 3:33:32 PM",Kudos,Activity,178359313
"Aug 11, 2014, 3:33:39 PM",Kudos,Activity,178359308
"Aug 12, 2014, 11:03:02 AM",Kudos,Activity,178826730
"Aug 12, 2014, 4:46:21 PM",Kudos,Activity,179161172
"Aug 12, 2014, 9:54:22 PM",Kudos,Activity,179265581
"Aug 14, 2014, 2:34:36 PM",Kudos,Activity,179789866
"Aug 15, 2014, 12:43:14 PM",Kudos,Activity,180181617
"Aug 15, 2014, 12:43:19 PM",Kudos,Activity,180460199
"Aug 21, 2014, 6:30:35 PM",Kudos,Activity,183201018
"Aug 21, 2014, 6:30:40 PM",Kudos,Activity,182988595
"Aug 21, 2014, 6:30:43 PM",Kudos,Activity,182985031
"Aug 21, 2014, 6:30:48 PM",Kudos,Activity,182810877
"Aug 21, 2014, 6:31:37 PM",Kudos,Activity,182447848
"Aug 21, 2014, 6:31:39 PM",Kudos,Activity,182354806
"Aug 21, 2014, 6:31:41 PM",Kudos,Activity,182899710
"Aug 21, 2014, 6:32:01 PM",Kudos,Activity,182988694
"Aug 21, 2014, 6:32:16 PM",Kudos,Activity,182899695
"Aug 21, 2014, 6:32:21 PM",Kudos,Activity,182447841
"Aug 21, 2014, 6:32:47 PM",Kudos,Activity,182020076
"Aug 23, 2014, 11:49:58 AM",Kudos,Activity,183800079
"Aug 24, 2014, 12:43:21 PM",Kudos,Activity,184563077
"Aug 24, 2014, 12:43:34 PM",Kudos,Activity,184535607
"Aug 24, 2014, 12:43:40 PM",Kudos,Activity,184261635
"Aug 24, 2014, 12:43:43 PM",Kudos,Feed Entry,8811207
"Aug 24, 2014, 12:43:49 PM",Kudos,Activity,184313568
"Aug 25, 2014, 8:10:06 PM",Kudos,Activity,185276197
"Aug 26, 2014, 6:34:41 PM",Kudos,Activity,185592706
"Aug 27, 2014, 7:05:02 PM",Kudos,Activity,186155424
"Aug 28, 2014, 2:08:12 PM",Kudos,Activity,186403771
"Aug 29, 2014, 5:08:25 PM",Kudos,Activity,186896068
"Sep 2, 2014, 2:22:33 PM",Kudos,Activity,188482946
"Sep 2, 2014, 2:24:29 PM",Kudos,Activity,188470265
"Sep 2, 2014, 2:24:31 PM",Kudos,Activity,187748675
"Sep 2, 2014, 2:24:47 PM",Kudos,Activity,187276483
"Sep 2, 2014, 2:24:49 PM",Kudos,Activity,187273517
"Sep 2, 2014, 2:24:54 PM",Kudos,Activity,187306758
"Sep 2, 2014, 2:25:02 PM",Kudos,Activity,187017444
"Sep 2, 2014, 2:25:24 PM",Kudos,Activity,186555553
"Sep 2, 2014, 2:25:34 PM",Kudos,Activity,186608770
"Sep 4, 2014, 3:55:32 PM",Kudos,Activity,188898365
"Sep 4, 2014, 3:55:34 PM",Kudos,Activity,188967175
"Sep 5, 2014, 5:31:15 PM",Kudos,Activity,189821255
"Sep 5, 2014, 5:31:24 PM",Kudos,Activity,189864555
"Sep 6, 2014, 3:24:50 PM",Kudos,Activity,190592863
"Sep 6, 2014, 3:24:51 PM",Kudos,Activity,190513093
"Sep 6, 2014, 3:25:09 PM",Kudos,Activity,190309090
"Sep 7, 2014, 4:04:10 PM",Kudos,Activity,190661098
"Sep 8, 2014, 1:48:50 PM",Kudos,Activity,191581453
"Sep 9, 2014, 2:50:05 PM",Kudos,Activity,191762507
"Sep 9, 2014, 2:50:07 PM",Kudos,Activity,191737186
"Sep 11, 2014, 2:04:05 PM",Kudos,Activity,192617768
"Sep 11, 2014, 2:04:11 PM",Kudos,Activity,192661622
"Sep 12, 2014, 4:27:41 PM",Kudos,Activity,193460606
"Sep 12, 2014, 7:05:09 PM",Kudos,Activity,193501041
"Sep 12, 2014, 7:05:19 PM",Kudos,Activity,193527903
"Sep 13, 2014, 4:16:29 PM",Kudos,Activity,193745786
"Sep 14, 2014, 4:18:42 PM",Kudos,Activity,194229184
"Sep 14, 2014, 4:18:46 PM",Kudos,Activity,194216675
"Sep 14, 2014, 5:17:44 PM",Kudos,Activity,193929169
"Sep 15, 2014, 7:43:08 PM",Kudos,Activity,194975260
"Sep 15, 2014, 7:43:16 PM",Kudos,Activity,194955302
"Sep 15, 2014, 7:44:00 PM",Kudos,Activity,194952270
"Sep 19, 2014, 4:00:36 PM",Kudos,Activity,195270720
"Sep 19, 2014, 4:00:46 PM",Kudos,Activity,195253810
"Sep 19, 2014, 4:00:55 PM",Kudos,Activity,195734368
"Sep 19, 2014, 4:00:59 PM",Kudos,Activity,195838699
"Sep 19, 2014, 4:01:03 PM",Kudos,Activity,195828745
"Sep 19, 2014, 4:01:09 PM",Kudos,Activity,196126086
"Sep 19, 2014, 4:01:14 PM",Kudos,Activity,196285086
"Sep 20, 2014, 1:03:01 PM",Kudos,Activity,196950338
"Sep 20, 2014, 1:03:04 PM",Kudos,Activity,196647567
"Sep 20, 2014, 1:03:15 PM",Kudos,Activity,196658282
"Sep 23, 2014, 11:07:28 AM",Kudos,Activity,197651293
"Sep 23, 2014, 11:07:32 AM",Kudos,Activity,197161220
"Sep 23, 2014, 11:12:59 AM",Kudos,Activity,198052782
"Sep 24, 2014, 5:23:41 PM",Kudos,Activity,198488497
"Sep 24, 2014, 5:23:47 PM",Kudos,Activity,198547701
"Sep 25, 2014, 12:36:59 PM",Kudos,Activity,198910599
"Nov 8, 2014, 6:30:01 AM",Kudos,Activity,216197782
"Nov 8, 2014, 6:30:11 AM",Kudos,Activity,215830023
"Nov 8, 2014, 6:30:24 AM",Kudos,Activity,215768748
"Nov 8, 2014, 2:48:12 PM",Kudos,Activity,216735419
"Nov 8, 2014, 2:48:22 PM",Kudos,Feed Entry,11209085
"Nov 11, 2014, 6:09:30 PM",Kudos,Activity,218146381
"Nov 11, 2014, 6:10:00 PM",Kudos,Activity,217735097
"Nov 11, 2014, 6:13:09 PM",Kudos,Activity,217350377
"Nov 12, 2014, 1:14:10 PM",Kudos,Activity,218429145
"Nov 13, 2014, 4:18:47 PM",Kudos,Activity,218505475
"Nov 13, 2014, 4:18:52 PM",Kudos,Activity,218499382
"Nov 14, 2014, 4:10:24 PM",Kudos,Activity,218876221
"Nov 14, 2014, 4:25:31 PM",Kudos,Activity,218866011
"Nov 15, 2014, 3:34:58 PM",Kudos,Activity,219346578
"Nov 15, 2014, 3:36:16 PM",Kudos,Activity,219427551
"Nov 16, 2014, 2:22:41 PM",Kudos,Activity,219760472
"Nov 16, 2014, 2:23:17 PM",Kudos,Activity,219724594
"Nov 18, 2014, 4:24:44 PM",Kudos,Activity,220257899
"Nov 20, 2014, 1:26:17 AM",Kudos,Activity,220926693
"Nov 20, 2014, 1:26:39 AM",Kudos,Activity,220989922
"Nov 20, 2014, 1:28:10 AM",Kudos,Activity,219982150
"Nov 22, 2014, 5:46:08 PM",Kudos,Activity,221884775
"Nov 22, 2014, 5:46:18 PM",Kudos,Activity,221833090
"Nov 22, 2014, 5:46:40 PM",Kudos,Activity,221794301
"Nov 22, 2014, 5:46:42 PM",Kudos,Feed Entry,11508553
"Nov 23, 2014, 1:01:51 PM",Kudos,Activity,222242133
"Nov 25, 2014, 6:54:39 PM",Kudos,Activity,223016232
"Nov 25, 2014, 7:49:45 PM",Kudos,Activity,223143808
"Nov 25, 2014, 7:49:52 PM",Kudos,Activity,222753453
"Nov 27, 2014, 3:32:17 AM",Kudos,Activity,223461831
"Nov 29, 2014, 12:49:45 PM",Kudos,Activity,224343230
"Nov 29, 2014, 12:49:49 PM",Kudos,Activity,224294373
"Dec 2, 2014, 6:59:19 PM",Kudos,Activity,225568142
"Dec 7, 2014, 6:28:15 AM",Kudos,Activity,226645146
"Dec 8, 2014, 10:17:49 AM",Kudos,Activity,226981393
"Dec 8, 2014, 10:18:07 AM",Kudos,Activity,226706747
"Dec 8, 2014, 10:18:22 AM",Kudos,Activity,226634117
"Dec 10, 2014, 7:08:26 AM",Kudos,Activity,227756500
"Dec 10, 2014, 7:08:45 AM",Kudos,Activity,227726989
"Dec 10, 2014, 7:09:02 AM",Kudos,Activity,227426404
"Dec 10, 2014, 7:09:10 AM",Kudos,Activity,227411001
"Dec 13, 2014, 2:48:11 PM",Kudos,Activity,228628766
"Dec 14, 2014, 12:44:42 PM",Kudos,Activity,229205607
"Dec 19, 2014, 6:45:37 PM",Kudos,Activity,230826658
"Dec 20, 2014, 3:37:48 PM",Kudos,Activity,231038449
"Dec 20, 2014, 3:37:56 PM",Kudos,Activity,231008657
"Dec 20, 2014, 3:41:14 PM",Kudos,Activity,230864351
"Dec 21, 2014, 2:18:29 PM",Kudos,Activity,231413452
"Dec 21, 2014, 2:18:48 PM",Kudos,Activity,231409630
"Dec 22, 2014, 6:53:53 PM",Kudos,Activity,231790513
"Dec 26, 2014, 1:41:51 PM",Kudos,Activity,232648271
"Dec 26, 2014, 1:41:55 PM",Kudos,Activity,232761475
"Dec 26, 2014, 1:42:13 PM",Kudos,Activity,232761487
"Dec 26, 2014, 1:42:19 PM",Kudos,Activity,232373769
"Dec 26, 2014, 1:42:25 PM",Kudos,Activity,232355510
"Dec 27, 2014, 3:14:10 PM",Kudos,Activity,233041689
"Dec 28, 2014, 2:27:03 PM",Kudos,Activity,233421709
"Dec 28, 2014, 2:27:06 PM",Kudos,Activity,233526487
"Dec 30, 2014, 7:09:00 PM",Kudos,Activity,234488664
"Jan 6, 2015, 3:17:51 AM",Kudos,Activity,237017441
"Jan 6, 2015, 3:18:03 AM",Kudos,Activity,236481039
"Jan 6, 2015, 3:18:43 AM",Kudos,Activity,235608023
"Jan 6, 2015, 3:19:09 AM",Kudos,Activity,235198506
"Jan 7, 2015, 5:05:48 PM",Kudos,Activity,237421302
"Jan 10, 2015, 7:01:56 PM",Kudos,Activity,239112714
"Jan 10, 2015, 7:01:59 PM",Kudos,Activity,239054788
"Jan 10, 2015, 7:02:07 PM",Kudos,Activity,239061717
"Jan 11, 2015, 4:46:03 PM",Kudos,Activity,239513929
"Jan 11, 2015, 4:46:05 PM",Kudos,Activity,239531759
"Jan 11, 2015, 4:46:42 PM",Kudos,Activity,239622485
"Jan 13, 2015, 6:12:04 PM",Kudos,Activity,240509585
"Jan 13, 2015, 6:12:55 PM",Kudos,Activity,240567020
"Jan 17, 2015, 6:45:53 PM",Kudos,Activity,242123435
"Jan 17, 2015, 6:45:59 PM",Kudos,Activity,242166201
"Jan 17, 2015, 6:46:08 PM",Kudos,Activity,242034147
"Jan 22, 2015, 12:03:14 PM",Kudos,Activity,244092564
"Jan 22, 2015, 6:11:00 PM",Kudos,Activity,244549384
"Jan 25, 2015, 7:33:51 AM",Kudos,Activity,245313982
"Jan 25, 2015, 7:33:54 AM",Kudos,Activity,245442925
"Jan 25, 2015, 2:02:53 PM",Kudos,Activity,245855205
"Jan 27, 2015, 1:54:58 PM",Kudos,Activity,246397506
"Jan 28, 2015, 9:45:25 AM",Kudos,Activity,246907512
"Jan 28, 2015, 11:59:58 AM",Kudos,Activity,246820898
"Jan 29, 2015, 12:38:12 PM",Kudos,Activity,247440928
"Jan 29, 2015, 12:45:38 PM",Kudos,Activity,247279621
"Jan 29, 2015, 12:45:47 PM",Kudos,Activity,247357403
"Feb 1, 2015, 12:17:50 PM",Kudos,Activity,248925379
"Feb 1, 2015, 4:24:52 PM",Kudos,Activity,249002368
